Electron_projectile_energy, keV	cross_section, barn
1.0	0
76.37185929648241	0
151.74371859296483	0
227.11557788944725	0
302.48743718592965	0
377.85929648241205	0
453.2311557788945	0
528.6030150753769	0
603.9748743718593	0
679.3467336683417	0
754.7185929648241	0
830.0904522613065	0
905.462311557789	0
980.8341708542714	0
1056.2060301507538	0
1131.5778894472362	0
1206.9497487437186	0
1282.321608040201	0
1357.6934673366834	0
1433.0653266331658	0
1508.4371859296482	0
1583.8090452261306	0
1659.180904522613	0
1734.5527638190954	0
1809.924623115578	1.93328855951688E-31
1885.2964824120604	7.56892183828705E-31
1960.6683417085428	6.90689030811693E-34
2036.0402010050252	1.57401194624610E-36
2111.4120603015076	4.31378767924079E-33
2186.78391959799	7.06779600868459E-35
2262.1557788944724	5.91182235060775E-37
2337.527638190955	1.68166272840473E-37
2412.899497487437	1.34974827593047E-36
2488.2713567839196	2.68955299463910E-35
2563.643216080402	1.66205949837243E-33
2639.0150753768844	4.54581533695909E-33
2714.386934673367	7.23525450975304E-34
2789.758793969849	7.04001393672463E-36
2865.1306532663316	1.06173915660159E-36
2940.502512562814	2.83005557295498E-37
3015.8743718592964	9.43280396215862E-38
3091.246231155779	6.77470503284271E-38
3166.618090452261	4.91702237376148E-38
3241.9899497487436	1.29958872131703E-38
3317.361809045226	1.74564442211990E-38
3392.7336683417084	6.02287546208310E-39
3468.105527638191	7.78481955924909E-39
3543.477386934673	3.18692307112422E-38
3618.849246231156	2.91250131666617E-38
3694.2211055276384	4.38767656647600E-38
3769.592964824121	5.41207516459743E-38
3844.964824120603	6.95087636806388E-38
3920.3366834170856	7.32132520142495E-38
3995.708542713568	9.22094945873854E-38
4071.0804020100504	1.19507111720921E-37
4146.452261306533	3.56787924050596E-37
4221.824120603015	6.23889723649858E-38
4297.195979899498	1.07254798481694E-36
4372.56783919598	8.94817257819216E-37
4447.939698492462	5.87552554599028E-36
4523.311557788945	9.61676072412487E-35
4598.683417085427	1.25084923020345E-34
4674.05527638191	3.31133147105567E-36
4749.427135678392	9.86432307380674E-37
4824.798994974874	3.43726220928571E-37
4900.170854271357	2.67930933051121E-37
4975.542713567839	2.68350571196166E-37
5050.914572864322	1.72391989650220E-36
5126.286432160804	1.39809565710284E-35
5201.658291457286	1.79306558571769E-37
5277.030150753769	5.45375973642574E-38
5352.402010050251	3.23634549604557E-38
5427.773869346734	6.01177741434029E-37
5503.145728643216	8.35556617002908E-37
5578.517587939698	1.69543750845814E-36
5653.889447236181	5.68115333207638E-36
5729.261306532663	4.72414905079073E-36
5804.633165829146	1.01129030225641E-34
5880.005025125628	1.95167121354756E-35
5955.37688442211	1.90160926627909E-36
6030.748743718593	6.50860416732065E-37
6106.120603015075	3.09675111455737E-37
6181.492462311558	1.90293785109992E-37
6256.86432160804	1.20639770047404E-37
6332.236180904522	8.32093293904990E-38
6407.608040201005	6.50421100185609E-38
6482.979899497487	4.51227237134533E-38
6558.35175879397	3.19686964393583E-38
6633.723618090452	2.81349220359077E-38
6709.095477386934	1.98974033481456E-38
6784.467336683417	2.01270629932411E-38
6859.839195979899	1.50488567801661E-38
6935.211055276382	1.30289115919999E-38
7010.582914572864	1.12054340211522E-38
7085.954773869346	1.04408361521278E-38
7161.326633165829	8.55722679835416E-39
7236.698492462312	6.35490009129043E-39
7312.0703517587945	6.57252911148646E-39
7387.442211055277	6.71504267980339E-39
7462.814070351759	4.31215376334609E-39
7538.185929648242	3.17350832046010E-39
7613.557788944724	3.45499570347801E-39
7688.929648241206	2.70369194491812E-39
7764.301507537689	2.51165680870092E-39
7839.673366834171	2.34320732815487E-39
7915.045226130654	1.78083149271447E-39
7990.417085427136	2.56302793748424E-39
8065.788944723618	2.04061420228061E-39
8141.160804020101	2.10729514985975E-39
8216.532663316582	1.57415182377220E-39
8291.904522613066	1.22135920004307E-39
8367.276381909547	1.30894698568615E-39
8442.64824120603	9.78481306766520E-40
8518.020100502512	1.11937039036681E-39
8593.391959798995	8.20085536512473E-40
8668.763819095477	7.29808697910612E-40
8744.13567839196	5.75811357275705E-40
8819.507537688442	5.00564538468290E-40
8894.879396984925	4.41341606322896E-40
8970.251256281406	4.44362206644182E-40
9045.62311557789	5.15518758297079E-40
9120.994974874371	4.39629447082311E-40
9196.366834170854	4.84179510149448E-40
9271.738693467336	4.16355652308553E-40
9347.11055276382	3.83416817810385E-40
9422.4824120603	2.98411119486248E-40
9497.854271356784	2.77173633641062E-40
9573.226130653265	2.20583705030014E-40
9648.597989949749	1.33389246206886E-40
9723.969849246232	1.68884654367827E-40
9799.341708542714	1.88496879429076E-40
9874.713567839197	1.47607891746183E-40
9950.085427135678	2.61420773160238E-40
10025.457286432162	1.01302657261576E-40
10100.829145728643	1.70334148446206E-40
10176.201005025127	1.09551684409178E-40
10251.572864321608	1.02084317608346E-40
10326.944723618091	7.69133585564079E-41
10402.316582914573	1.69863398804137E-40
10477.688442211056	1.23379225251665E-40
10553.060301507538	5.82611124172788E-41
10628.43216080402	4.15973498974533E-41
10703.804020100502	1.09370369980843E-40
10779.175879396986	5.34156803072927E-41
10854.547738693467	1.24098257591398E-40
10929.91959798995	1.71124894555119E-41
11005.291457286432	7.46560919815088E-41
11080.663316582915	6.24702220448570E-41
11156.035175879397	5.61115861171272E-41
11231.40703517588	4.25444779868894E-41
11306.778894472362	3.94148521869365E-41
11382.150753768845	5.04204436812230E-41
11457.522613065326	2.78779001680490E-41
11532.89447236181	3.91389109245259E-41
11608.266331658291	3.07812179033343E-41
11683.638190954774	3.37078730430469E-41
11759.010050251256	1.69524785360966E-41
11834.38190954774	1.56288664344496E-41
11909.75376884422	1.59531301082915E-41
11985.125628140704	1.47496161749014E-41
12060.497487437186	2.59064216580052E-41
12135.869346733669	1.47916367490207E-41
12211.24120603015	7.62226967838763E-42
12286.613065326634	1.23285753183883E-41
12361.984924623115	1.27990339445293E-41
12437.356783919598	1.11428729340617E-41
12512.72864321608	5.00578878527391E-42
12588.100502512563	8.25321561682866E-42
12663.472361809045	6.28259224116802E-42
12738.844221105528	9.84566316637314E-42
12814.21608040201	8.88233635049531E-42
12889.587939698493	9.11344361654319E-42
12964.959798994974	5.50541494660169E-42
13040.331658291458	6.95366170913494E-42
13115.70351758794	4.69324184666168E-42
13191.075376884422	1.31269857367210E-41
13266.447236180904	4.53042361968983E-42
13341.819095477387	1.30080534110934E-41
13417.190954773869	1.01274213420617E-41
13492.562814070352	7.14564832011729E-42
13567.934673366834	1.10447902522565E-41
13643.306532663317	9.47013446757035E-42
13718.678391959798	1.69859896985623E-41
13794.050251256282	7.96083226474151E-42
13869.422110552763	4.64202745268468E-42
13944.793969849246	3.76498532758109E-42
14020.165829145728	7.05845797695403E-42
14095.537688442211	6.05550301396088E-42
14170.909547738693	4.21855281333786E-42
14246.281407035176	5.50248645340577E-42
14321.653266331658	7.61508262042508E-42
14397.02512562814	6.08220554333177E-42
14472.396984924624	9.39783379695951E-42
14547.768844221106	4.87798593852483E-42
14623.140703517589	6.88412222119564E-42
14698.51256281407	5.83125019583400E-42
14773.884422110554	8.66053275751260E-42
14849.256281407035	7.24856537780747E-42
14924.628140703519	4.44630068719525E-42
15000.0	7.06630105764702E-42
