Electron_projectile_energy, keV	cross_section, barn
1.0	0
76.37185929648241	0
151.74371859296483	0
227.11557788944725	0
302.48743718592965	0
377.85929648241205	0
453.2311557788945	0
528.6030150753769	0
603.9748743718593	0
679.3467336683417	0
754.7185929648241	0
830.0904522613065	0
905.462311557789	0
980.8341708542714	0
1056.2060301507538	0
1131.5778894472362	0
1206.9497487437186	0
1282.321608040201	0
1357.6934673366834	0
1433.0653266331658	0
1508.4371859296482	0
1583.8090452261306	0
1659.180904522613	0
1734.5527638190954	0
1809.924623115578	2.81801987890558E-15
1885.2964824120604	4.35734620299272E-14
1960.6683417085428	2.29396077487003E-17
2036.0402010050252	1.01302602922349E-20
2111.4120603015076	3.29502234426803E-18
2186.78391959799	2.40576957796385E-19
2262.1557788944724	1.18762949944634E-21
2337.527638190955	5.45718281285374E-22
2412.899497487437	1.26257767085433E-21
2488.2713567839196	4.66161267807271E-21
2563.643216080402	2.83535179399896E-18
2639.0150753768844	1.18626313205970E-16
2714.386934673367	2.61369568559737E-19
2789.758793969849	4.07639474121908E-21
2865.1306532663316	8.11673471867976E-22
2940.502512562814	1.77577385384794E-22
3015.8743718592964	8.10778286820689E-23
3091.246231155779	2.64870971209040E-23
3166.618090452261	4.25904844173906E-23
3241.9899497487436	5.92062727291718E-24
3317.361809045226	3.45043946021765E-24
3392.7336683417084	3.30988627479404E-24
3468.105527638191	5.71331360797256E-25
3543.477386934673	1.08578186934981E-23
3618.849246231156	6.39381826297655E-25
3694.2211055276384	3.34381762213664E-24
3769.592964824121	8.28372447478207E-24
3844.964824120603	8.59633174017757E-24
3920.3366834170856	3.89476430793645E-24
3995.708542713568	6.72524956152629E-24
4071.0804020100504	8.14727650336629E-24
4146.452261306533	9.54702414660831E-24
4221.824120603015	1.19287588033533E-23
4297.195979899498	2.93164656883831E-23
4372.56783919598	4.65360669632189E-23
4447.939698492462	1.29836184942978E-22
4523.311557788945	5.14526390885226E-21
4598.683417085427	2.32217967779235E-20
4674.05527638191	1.09007827872631E-21
4749.427135678392	5.71987354981195E-22
4824.798994974874	4.49643888704494E-22
4900.170854271357	7.53206333409658E-22
4975.542713567839	1.56947860478275E-21
5050.914572864322	1.51421304450635E-20
5126.286432160804	2.99410866628837E-19
5201.658291457286	3.75193815467914E-21
5277.030150753769	8.59632760508746E-22
5352.402010050251	3.73488217689818E-22
5427.773869346734	2.43458043733591E-22
5503.145728643216	1.74704968873790E-22
5578.517587939698	2.07347563305359E-22
5653.889447236181	3.02252100160967E-22
5729.261306532663	1.20377823288616E-23
5804.633165829146	4.42064138221078E-21
5880.005025125628	1.36992000544355E-21
5955.37688442211	9.57912312130498E-23
6030.748743718593	2.33480126459071E-23
6106.120603015075	8.86219175032780E-24
6181.492462311558	3.92781191316424E-24
6256.86432160804	1.67864810877205E-24
6332.236180904522	1.34422367598278E-24
6407.608040201005	7.36992318103188E-25
6482.979899497487	6.21655947692214E-25
6558.35175879397	3.54899439306350E-25
6633.723618090452	2.15372070897764E-25
6709.095477386934	1.30429205233631E-25
6784.467336683417	1.06024575195651E-25
6859.839195979899	1.64317644797211E-25
6935.211055276382	6.59837975122384E-26
7010.582914572864	5.67115307058041E-26
7085.954773869346	1.06214362250185E-25
7161.326633165829	8.65361160385603E-26
7236.698492462312	3.90649045041852E-26
7312.0703517587945	5.63497941710014E-26
7387.442211055277	3.00451914647806E-26
7462.814070351759	8.25722394989445E-26
7538.185929648242	6.42039216021909E-26
7613.557788944724	3.27271288048302E-26
7688.929648241206	2.08152205096356E-26
7764.301507537689	2.13422256991748E-26
7839.673366834171	3.20058957122483E-26
7915.045226130654	9.89393286690452E-27
7990.417085427136	7.08668123845808E-27
8065.788944723618	1.94715911050987E-26
8141.160804020101	7.28721144923806E-27
8216.532663316582	2.94137202511847E-27
8291.904522613066	2.06570457911055E-26
8367.276381909547	1.59453728259670E-26
8442.64824120603	1.04973798151855E-26
8518.020100502512	5.15695157963615E-27
8593.391959798995	1.76898522420077E-27
8668.763819095477	8.81873864585005E-27
8744.13567839196	7.68935085959849E-27
8819.507537688442	2.17245319758468E-27
8894.879396984925	6.71240044376822E-27
8970.251256281406	6.01781775983718E-27
9045.62311557789	7.65483332973758E-27
9120.994974874371	5.64427579678155E-27
9196.366834170854	4.59127407292861E-27
9271.738693467336	9.16119731154379E-28
9347.11055276382	5.05162843784752E-27
9422.4824120603	4.86059024393947E-27
9497.854271356784	2.33512173524571E-27
9573.226130653265	1.18205100641433E-28
9648.597989949749	8.00899769170032E-28
9723.969849246232	6.58475308062579E-27
9799.341708542714	1.40737058308874E-27
9874.713567839197	2.55543622834058E-27
9950.085427135678	1.56062232279736E-27
10025.457286432162	1.00049443466744E-27
10100.829145728643	1.35649388490828E-27
10176.201005025127	3.08874424700835E-27
10251.572864321608	6.33889234251110E-28
10326.944723618091	3.43372441200514E-28
10402.316582914573	1.55986299564840E-27
10477.688442211056	2.14862755685626E-27
10553.060301507538	8.83154414539406E-28
10628.43216080402	1.81288592322533E-28
10703.804020100502	1.77312280518717E-27
10779.175879396986	7.21913697056178E-28
10854.547738693467	1.63505523371384E-28
10929.91959798995	1.88236280880663E-28
11005.291457286432	9.41178250044999E-28
11080.663316582915	1.07101952979411E-28
11156.035175879397	2.41784830682644E-27
11231.40703517588	2.55336185299857E-27
11306.778894472362	1.24650068319417E-27
11382.150753768845	2.11060175490683E-28
11457.522613065326	6.74958722438737E-28
11532.89447236181	9.80298248844875E-28
11608.266331658291	3.98719171188084E-28
11683.638190954774	2.77470479248588E-28
